,SHSZ300 Index
2022-06-06,4166.09
2022-06-07,4179.13
2022-06-08,4219.81
2022-06-09,4175.68
2022-06-10,4238.99
2022-06-13,4189.35
2022-06-14,4222.31
2022-06-15,4278.22
2022-06-16,4250.06
2022-06-17,4309.04
2022-06-20,4330.43
2022-06-21,4325.57
2022-06-22,4270.62
2022-06-23,4343.88
2022-06-24,4394.77
2022-06-27,4444.26
2022-06-28,4490.52
2022-06-29,4421.36
2022-06-30,4485.01
2022-07-01,4466.72
2022-07-04,4496.03
2022-07-05,4489.54
2022-07-06,4423.97
2022-07-07,4443.47
2022-07-08,4428.78
2022-07-11,4354.62
2022-07-12,4313.62
2022-07-13,4321.46
2022-07-14,4322.07
2022-07-15,4248.53
2022-07-18,4292.59
2022-07-19,4269.34
2022-07-20,4283.8
2022-07-21,4236.06
2022-07-22,4238.23
2022-07-25,4212.64
2022-07-26,4245.98
2022-07-27,4225.04
2022-07-28,4225.67
2022-07-29,4170.1
2022-08-01,4188.68
2022-08-02,4107.02
2022-08-03,4066.98
2022-08-04,4101.54
2022-08-05,4156.91
2022-08-08,4148.08
2022-08-09,4156.29
2022-08-10,4109.74
2022-08-11,4193.54
2022-08-12,4191.15
2022-08-15,4185.68
2022-08-16,4177.84
2022-08-17,4216.96
2022-08-18,4180.1
2022-08-19,4151.07
2022-08-22,4181.4
2022-08-23,4161.08
2022-08-24,4082.42
2022-08-25,4116.24
2022-08-26,4107.55
2022-08-29,4089.52
2022-08-30,4075.79
2022-08-31,4078.84
2022-09-01,4043.74
2022-09-02,4023.61
2022-09-05,4015.43
2022-09-06,4052.28
2022-09-07,4054.98
2022-09-08,4037.68
2022-09-09,4093.79
2022-09-13,4111.11
2022-09-14,4065.36
2022-09-15,4027.12
2022-09-16,3932.68
